00100000-002f41ff : 100000.clock-controller cc_base
008c0000-008c1fff : 8c0000.qcom,qupv3_2_geni_se qcom,qupv3_2_geni_se@8c0000
00990000-00993fff : 990000.i2c i2c@990000
00994000-00997fff : 994000.i2c i2c@994000
009c0000-009c1fff : 9c0000.qcom,qupv3_0_geni_se qcom,qupv3_0_geni_se@9c0000
00a84000-00a87fff : a84000.i2c i2c@a84000
00ac0000-00ac1fff : ac0000.qcom,qupv3_1_geni_se qcom,qupv3_1_geni_se@ac0000
01500000-0151bfff : 1500000.interconnect interconnect@1500000
01680000-0169e1ff : 1680000.interconnect interconnect@1680000
016c0000-016ce27f : 16c0000.interconnect interconnect@16c0000
016e0000-016fc07f : 16e0000.interconnect interconnect@16e0000
01700000-0173107f : 1700000.interconnect interconnect@1700000
01740000-0175f07f : 1740000.interconnect interconnect@1740000
0188101c-0188101f : 188101c.remoteproc-spss sp2soc_irq_status
01881024-01881027 : 188101c.remoteproc-spss sp2soc_irq_clr
01881028-0188102b : 188101c.remoteproc-spss sp2soc_irq_mask
0188103c-0188103f : 188101c.remoteproc-spss rmb_err
01881100-01881103 : 188101c.remoteproc-spss rmb_general_purpose
01882014-01882017 : 188101c.remoteproc-spss rmb_err_spare2
01d80000-01d81fff : 1d80000.ufsphy_mem phy_mem
01d84000-01d86fff : 1d84000.ufshc ufs_mem
01d88000-01d8ffff : 1d84000.ufshc ufs_ice
01d90000-01d98fff : 1d84000.ufshc ufs_ice_hwkm
03304000-03323fff : 3304000.bamdma bam
03340000-0336bfff : 3340000.slim ctrl
03c40000-03c571ff : 3c40000.interconnect interconnect@3c40000
03d90000-03d99fff : 3d90000.clock-controller cc_base
03da0000-03ddffff : 3da0000.kgsl-smmu base
03de6000-03de601f : 3da0000.kgsl-smmu tcu-base
03de9000-03de9fff : 3de9000.gfx_0_tbu base
03ded000-03dedfff : 3ded000.gfx_1_tbu base
088e2000-088e2003 : 88e3000.hsphy eud_enable_reg
088e3000-088e3153 : 88e3000.hsphy eusb2_phy_base
0a60c100-0a60d93b : a600000.dwc3 dwc3@a600000
0aaf0000-0aafffff : aaf0000.clock-controller clock-controller@aaf0000
0ade0000-0adfffff : ade0000.clock-controller cc_base
0af00000-0af1ffff : af00000.clock-controller clock-controller@af00000
0af20000-0af2ffff : af20000.rsc drv-0
0c222000-0c2221fe : c263000.thermal-sensor thermal-sensor@c263000
0c223000-0c2231fe : c265000.thermal-sensor thermal-sensor@c265000
0c263000-0c2631fe : c263000.thermal-sensor thermal-sensor@c263000
0c265000-0c2651fe : c265000.thermal-sensor thermal-sensor@c265000
0c276000-0c276003 : 88e3000.hsphy eud_detect_reg
0c300000-0c3003ff : c300000.power-controller power-controller@c300000
0c42d000-0c430fff : spmi-0 cnfg
0c432000-0c435fff : spmi-1 cnfg
0c4c0000-0c4cffff : spmi-0 intr
0c4d0000-0c4dffff : spmi-1 intr
0ed18000-0ed18fff : ed18000.qcom,ipcc qcom,ipcc@ed18000
0f000000-0fffffff : f000000.pinctrl pinctrl@f000000
10002000-10002fff : stm-base
10003000-10003fff : tpdm-base
10004000-10004fff : tpda-base
1000f000-1000ffff : tpdm-base
10010000-10010fff : cti@10010000
10041000-10041fff : funnel-base
10042000-10042fff : funnel-base
10045000-10045fff : funnel-base
10046000-10046fff : replicator-base
10048000-10048fff : tmc-base
1004e000-1004efff : replicator-base
1004f000-1004ffff : tmc-base
10800000-10800fff : tpdm-base
10802000-10802fff : cti@10802000
10803000-10803fff : tpda-base
10804000-10804fff : funnel-base
1080b000-1080bfff : cti@1080b000
1080c000-1080cfff : funnel-base
1080d000-1080dfff : funnel-base-dummy
1082c000-1082cfff : tpdm-base
10830000-10830fff : tpdm-base
10831000-10831fff : cti@10831000
10832000-10832fff : funnel-base
10841000-10841fff : tpdm-base
10844000-10844fff : tpdm-base
10845000-10845fff : cti@10845000
10846000-10846fff : funnel-base
10850000-10850fff : tpdm-base
10884000-10884fff : cti@10884000
10980000-10980fff : tpdm-base
10982000-10982fff : cti@10982000
10984000-10984fff : cti@10984000
10985000-10985fff : funnel-base
10986000-10986fff : funnel-base-dummy
1098b000-1098bfff : cti@1098b000
109c0000-109c0fff : tpdm-base
109c1000-109c1fff : tpda-base
109c2000-109c2fff : funnel-base
109d0000-109d0fff : tpdm-base
10ac0000-10ac0fff : tpdm-base
10ac1000-10ac1fff : tpda-base
10ac2000-10ac2fff : funnel-base
10b00000-10b00fff : cti@10b00000
10b04000-10b04fff : funnel-base
10b05000-10b05fff : tmc-base
10b06000-10b06fff : replicator-base
10b08000-10b08fff : tpda-base
10b09000-10b09fff : tpdm-base
10b0a000-10b0afff : tpdm-base
10b0b000-10b0bfff : tpdm-base
10b0c000-10b0cfff : tpdm-base
10b0d000-10b0dfff : tpdm-base
10b0e000-10b0efff : tgu-base
10c08000-10c08fff : tpdm-base
10c09000-10c09fff : cti@10c09000
10c0a000-10c0afff : cti@10c0a000
10c0b000-10c0bfff : funnel-base
10c28000-10c28fff : tpdm-base
10c29000-10c29fff : tpdm-base
10c2a000-10c2afff : cti@10c2a000
10c2b000-10c2bfff : cti@10c2b000
10c2e000-10c2efff : tpda-base
10c2f000-10c2ffff : funnel-base
10c38000-10c38fff : tpdm-base
10c39000-10c39fff : tpdm-base
10c3a000-10c3afff : funnel-base
10c60000-10c60fff : tpdm-base
10c61000-10c61fff : cti@10c61000
10d02000-10d02fff : cti@10d02000
10d03000-10d03fff : cti@10d03000
10d04000-10d04fff : cti@10d04000
10d05000-10d05fff : funnel-base
10d0c000-10d0cfff : cti@10d0c000
10d0d000-10d0dfff : cti@10d0d000
10d0e000-10d0efff : cti@10d0e000
10d0f000-10d0ffff : funnel-base
10d20000-10d20fff : tpdm-base
10d21000-10d21fff : cti@10d21000
10d22000-10d22fff : funnel-base
10d30000-10d30fff : tpdm-base
10d31000-10d31fff : cti@10d31000
10d32000-10d32fff : funnel-base
12010000-12010fff : cti@12010000
12020000-12020fff : cti@12020000
12030000-12030fff : cti@12030000
12040000-12040fff : cti@12040000
12050000-12050fff : cti@12050000
12060000-12060fff : cti@112060000
